codeTs,snum,textName,requireCheck,decFacCode,decFacName,decFacType,decFacContent,ieFlag,gname,extendFiled
4303,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
4303,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
4303,2,材质（里、外）,1,null,null,null,null,null,null,null
4303,3,衣服种类,1,null,null,null,null,null,null,null
4303,4,GTIN,0,null,null,null,null,null,null,null
4303,5,CAS,0,null,null,null,null,null,null,null
4303,6,其他,0,,,,,,,
4303,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
4303,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
4303,2,材质（里、外）,1,null,null,null,null,null,null,null
4303,3,衣服种类,1,null,null,null,null,null,null,null
4303,4,GTIN,0,null,null,null,null,null,null,null
4303,5,CAS,0,null,null,null,null,null,null,null
4303,6,其他,0,,,,,,,
4304,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
4304,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
4304,2,材质（人造毛皮）,1,null,null,null,null,null,null,null
4304,3,GTIN,0,null,null,null,null,null,null,null
4304,4,CAS,0,null,null,null,null,null,null,null
4304,5,其他,0,,,,,,,
44011,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
44011,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
44011,2,种类（中文及拉丁学名）,1,null,null,null,null,null,null,null
44011,3,外观（圆木段、块、枝、成捆或类似形状等）,1,null,null,null,null,null,null,null
44011,4,GTIN,0,null,null,null,null,null,null,null
44011,5,CAS,0,null,null,null,null,null,null,null
44011,6,其他,0,,,,,,,
44012,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
44012,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
44012,2,种类（中文及拉丁学名）,1,null,null,null,null,null,null,null
44012,3,GTIN,0,null,null,null,null,null,null,null
44012,4,CAS,0,null,null,null,null,null,null,null
44012,5,其他,0,,,,,,,
44012,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
44012,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
44012,2,种类（中文及拉丁学名）,1,null,null,null,null,null,null,null
44012,3,GTIN,0,null,null,null,null,null,null,null
44012,4,CAS,0,null,null,null,null,null,null,null
44012,5,其他,0,,,,,,,
440131,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
440131,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
440131,2,外观(棒),1,null,null,null,null,null,null,null
440131,3,规格（直径×长度）,1,null,null,null,null,null,null,null
440131,4,GTIN,0,null,null,null,null,null,null,null
440131,5,CAS,0,null,null,null,null,null,null,null
440131,6,其他,0,,,,,,,
440139,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
440139,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
440139,2,外观（块、片或类似形状等）,1,null,null,null,null,null,null,null
440139,3,GTIN,0,null,null,null,null,null,null,null
440139,4,CAS,0,null,null,null,null,null,null,null
440139,5,其他,0,,,,,,,
44014,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
44014,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
44014,2,外观(末、废料、碎片等),1,null,null,null,null,null,null,null
44014,3,GTIN,0,null,null,null,null,null,null,null
44014,4,CAS,0,null,null,null,null,null,null,null
44014,5,其他,0,,,,,,,
44021,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
44021,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
44021,2,材质,1,null,null,null,null,null,null,null
44021,3,GTIN,0,null,null,null,null,null,null,null
44021,4,CAS,0,null,null,null,null,null,null,null
44021,5,其他,0,,,,,,,
44029,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
44029,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
44029,2,材质,1,null,null,null,null,null,null,null
44029,3,碳含量,1,null,null,null,null,null,null,null
44029,4,挥发份,1,null,null,null,null,null,null,null
44029,5,GTIN,0,null,null,null,null,null,null,null
44029,6,CAS,0,null,null,null,null,null,null,null
44029,7,其他,0,,,,,,,
44031,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
44031,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
